"gene","logFC_hyp","logFC_circ","score"
"CTIF",-2.67604031243196,-0.884335811663244,3.56037612409521
"DAPP1",2.922434095135,0.626859355916792,3.54929345105179
"PANX2",3.00203600460187,0.546818975394896,3.54885497999676
"ZNF575",-3.19314347337974,-0.288744073061173,3.48188754644091
"RNASEK-C17orf49",-3.39247678208881,-0.0803532491278336,3.47283003121664
"ZBTB43",3.10747686725089,0.353022420386178,3.46049928763707
"FSCN3",-3.25266175657005,-0.202388694336674,3.45505045090673
"LRRC61",3.02790245184274,0.423276799002013,3.45117925084475
"ITGA2B",2.32790265020964,1.07949862643528,3.40740127664492
"EPHA6",2.94323282133072,0.444714634353594,3.38794745568431
"ZNF396",1.7516685694111,1.63216652807515,3.38383509748625
"SWT1",3.07161405818561,0.291949074150994,3.3635631323366
"TNFSF12-TNFSF13",-3.18917258428862,-0.154657231620085,3.34382981590871
"SARM1",-3.11123708252396,-0.219888605851454,3.33112568837542
"BRICD5",-3.1591572121559,-0.145067252439775,3.30422446459568
"UFSP1",-2.60041147916509,-0.690399010682988,3.29081048984807
"CIMIP5",2.67496334810984,0.60527387610842,3.28023722421826
"STARD5",-2.30049663093295,-0.965786752644497,3.26628338357745
"RAB27B",3.11499754121682,0.134851161455462,3.24984870267228
"CLCN5",2.53591146169101,0.700861481755264,3.23677294344628
"PAFAH2",-3.19763443191353,-0.00836121191706329,3.20599564383059
"RNF152",2.63232029998534,0.568707151740379,3.20102745172572
"PTGFRN",2.88347556441298,0.26701566089946,3.15049122531244
"HOMER2",2.45493332231057,0.688905420741352,3.14383874305193
"ZNF670",2.71935647908048,0.419852672272058,3.13920915135254
"BAG6",2.96417351906822,0.169934016936306,3.13410753600453
"SRRM5",-2.9152011244398,-0.197967714023657,3.11316883846346
"ACTR3B",2.72198987541464,0.381243929254822,3.10323380466946
"VDR",2.96857295929692,0.10406247335035,3.07263543264727
"LEKR1",-2.54529403136323,-0.507163305904577,3.05245733726781
"TLCD5",2.35857007283666,0.684031020391465,3.04260109322813
"PDE5A",2.28950867212794,0.739265510171838,3.02877418229977
"COL7A1",2.35412829249059,0.672957410502696,3.02708570299329
"OXTR",2.46826149124033,0.553099721944902,3.02136121318524
"KLF8",1.46644014198681,1.55451320987076,3.02095335185757
"MUC20",2.50563101070161,0.499765062122253,3.00539607282387
"TSPAN12",2.48409566908985,0.503458995826254,2.98755466491611
"CD24",2.93008959765106,0.0568312461140117,2.98692084376507
"LIPT2",-2.64418909784356,-0.325350287398022,2.96953938524158
"MMP19",-1.29113524163771,-1.67385082035018,2.96498606198789
"LAT",1.82435903317371,1.12498536795861,2.94934440113233
"CCNP",2.29183240922381,0.652206413515263,2.94403882273908
"PLD6",2.90047088012048,0.0426950530968933,2.94316593321738
"ZNF594",-2.70617616525014,-0.235075199655929,2.94125136490607
"C11orf52",2.83050589282924,0.108820806668424,2.93932669949767
"CCDC73",2.76664281425075,0.166606084463959,2.93324889871471
"TRIM59-IFT80",2.7087949208722,0.204079430681093,2.9128743515533
"MAPT",2.83710457044812,0.0634099614078656,2.90051453185599
"PPFIBP2",2.14320920038437,0.753487695539086,2.89669689592345
"CFAP157",-2.55219162651561,-0.306508724074035,2.85870035058964
"ZFYVE28",2.11434848073339,0.743345736179978,2.85769421691337
"KICS2",2.61099372232137,0.237448136768883,2.84844185909025
"DGKE",2.06523546822562,0.783078704975147,2.84831417320077
"KRABD2",2.66808080223807,0.177358176388095,2.84543897862616
"HAS3",2.74419018868595,0.0989893201231227,2.84317950880908
"SYCE2",2.40098046573965,0.427564423754618,2.82854488949427
"H2AC13",2.55664637568982,0.260740012138084,2.8173863878279
"FAN1",2.34363690246894,0.444306261156502,2.78794316362545
"HSPA1B",-1.93904202044524,-0.836230626140442,2.77527264658568
"CATSPERH",2.74796186374922,0.0151079032105663,2.76306976695979
"LHFPL4",-2.30569412997241,-0.455648832601627,2.76134296257404
"TRIM26",-2.49190012017674,-0.261335838269202,2.75323595844595
"CSGALNACT1",2.26888447498853,0.48350681643711,2.75239129142564
"KLHL15",2.18261630498163,0.56869527608304,2.75131158106467
"SLC60A2",-1.89803425007546,-0.847516753626421,2.74555100370188
"INSIG2",2.59151852413712,0.147152186618649,2.73867071075577
"OMG",1.83576996617174,0.902752306420241,2.73852227259198
"MAP4K3",2.24253195398113,0.491780716277259,2.73431267025839
